01;españa   ;20;38739;1440.86
01;españa   ;20;63759;1648.73
01;españa   ;20;47548;2741.68
01;españa   ;20;96942;2442.63
01;españa   ;20;37552;2448.76
01;españa   ;20;72639;1514.97
01;españa   ;20;19573;1899.97
01;españa   ;20;22345;1512.88
01;españa   ;20;62300;1294.66
01;españa   ;20;43208;2818.90
01;españa   ;20;32912;2635.57
01;españa   ;20;14564;1929.80
01;españa   ;20;29109;1331.14
01;españa   ;20;39647;1597.28
01;españa   ;20;19070;2263.09
01;españa   ;20;55309;2373.74
02;bolivia  ;20;11917;2127.57
02;bolivia  ;20;55619;1940.63
02;bolivia  ;20;13888;2948.85
02;bolivia  ;20;41860;2295.35
02;bolivia  ;20;14652;1816.54
02;bolivia  ;20;16634;2175.58
02;bolivia  ;20;96999;2038.17
02;bolivia  ;20;97870;2555.30
02;bolivia  ;20;29253;2867.96
02;bolivia  ;20;16807;1149.17
02;bolivia  ;20;68939;1288.87
02;bolivia  ;20;52575;2667.68
02;bolivia  ;20;60592;2257.28
02;bolivia  ;20;52145;1036.08
02;bolivia  ;20;29734;1213.68
02;bolivia  ;20;64362;2336.95
03;usa      ;20;79225;1810.54
03;usa      ;20;21884;1665.44
03;usa      ;20;68596;2548.26
03;usa      ;20;52882;2092.83
03;usa      ;20;17245;1098.00
03;usa      ;20;54940;2106.47
03;usa      ;20;42739;1520.48
03;usa      ;20;58864;1594.43
03;usa      ;20;96717;1474.02
03;usa      ;20;92279;2714.71
03;usa      ;20;27922;1059.57
03;usa      ;20;71012;1487.05
03;usa      ;20;17704;2468.96
04;argentina;20;42917;1805.63
04;argentina;20;80605;2229.05
04;argentina;20;90616;2199.49
04;argentina;20;96368;1216.90
04;argentina;20;14083;1817.75
04;argentina;20;39831;2850.46
04;argentina;20;98455;1124.98
04;argentina;20;72308;2318.89
04;argentina;20;99182;1891.24
04;argentina;20;23862;1601.58
04;argentina;20;58372;1950.92
04;argentina;20;67999;2189.85
04;argentina;20;85076;2402.19
04;argentina;20;22726;2763.31
05;colombia ;20;72319;2223.10
05;colombia ;20;81689;1003.22
05;colombia ;20;98558;2389.84
05;colombia ;20;69894;2054.65
05;colombia ;20;91521;2207.26
05;colombia ;20;69694;1305.16
05;colombia ;20;92356;1748.50
05;colombia ;20;54215;1033.52
05;colombia ;20;75141;1388.98
05;colombia ;20;22923;1497.11
05;colombia ;20;78959;2059.68
05;colombia ;20;76760;2946.58
05;colombia ;20;51701;1053.31
05;colombia ;20;35123;1106.90
05;colombia ;20;14548;2140.63
06;peru     ;20;77261;1309.28
06;peru     ;20;62059;2736.12
06;peru     ;20;82424;2002.44
06;peru     ;20;45445;2231.49
06;peru     ;20;41307;1263.18
06;peru     ;20;47913;2560.72
06;peru     ;20;45593;2796.33
06;peru     ;20;52995;1675.57
06;peru     ;20;51717;2515.36
06;peru     ;20;72511;2109.61
06;peru     ;20;20292;1229.61
06;peru     ;20;87716;2970.39
06;peru     ;20;95768;1788.48
06;peru     ;20;50777;1063.90
06;peru     ;20;13984;2264.40
07;venezuela;20;86012;2370.78
07;venezuela;20;98111;1892.61
07;venezuela;20;12141;2288.02
07;venezuela;20;76594;1216.97
07;venezuela;20;99762;1011.03
07;venezuela;20;17474;2272.53
07;venezuela;20;39700;2498.32
07;venezuela;20;62582;2191.03
07;venezuela;20;63969;1726.60
07;venezuela;20;85427;1936.98
07;venezuela;20;88644;2744.73
07;venezuela;20;64922;2675.16
07;venezuela;20;60140;2925.67
07;venezuela;20;39288;1583.61
07;venezuela;20;69871;2334.34
08;francia  ;20;86296;1830.15
08;francia  ;20;97109;1238.36
08;francia  ;20;40144;1661.74
08;francia  ;20;51544;2065.20
08;francia  ;20;73011;1170.35
08;francia  ;20;63367;2908.33
08;francia  ;20;59521;2058.12
08;francia  ;20;56192;2474.47
08;francia  ;20;95356;1435.18
08;francia  ;20;37432;2718.79
08;francia  ;20;96899;1855.09
08;francia  ;20;22947;2687.06
08;francia  ;20;28920;2969.47
08;francia  ;20;94464;2999.98
08;francia  ;20;63050;1861.77
09;ecuador  ;20;32558;1269.17
09;ecuador  ;20;77615;1568.72
09;ecuador  ;20;28554;1360.20
09;ecuador  ;20;89671;1019.44
09;ecuador  ;20;90117;1084.50
09;ecuador  ;20;47235;1224.85
09;ecuador  ;20;56326;1025.36
09;ecuador  ;20;36021;1333.64
09;ecuador  ;20;99222;2242.52
09;ecuador  ;20;16680;2252.95
09;ecuador  ;20;97472;1867.94
09;ecuador  ;20;61352;2377.31
09;ecuador  ;20;91771;2983.72
09;ecuador  ;20;34214;1099.53
09;ecuador  ;20;83672;2846.30
10;chile    ;20;82045;1378.65
10;chile    ;20;87142;1762.22
10;chile    ;20;87634;2427.68
10;chile    ;20;95324;2594.12
10;chile    ;20;26673;2403.21
10;chile    ;20;65528;2787.26
10;chile    ;20;33210;2055.09
10;chile    ;20;73658;2550.94
10;chile    ;20;28338;2038.64
10;chile    ;20;90643;1510.82
10;chile    ;20;71037;1015.42
10;chile    ;20;82466;1767.01
10;chile    ;20;87184;1076.97
10;chile    ;20;56262;1066.08
10;chile    ;20;33321;2774.40
