1;1;1;83;2496.51
1;1;1;91;2734.00
1;1;3;65;2913.50
1;1;3;79;2440.49
1;2;2;10;1850.09
1;2;2;43;2257.36
1;2;2;66;1589.32
1;2;3;95;2905.86
1;3;1;20;1513.56
1;3;2;25;2648.50
1;3;2;61;2570.77
1;4;1;08;2221.76
1;4;1;67;2209.00
1;4;2;17;2262.15
1;4;2;54;2997.13
1;4;2;90;1292.91
1;4;3;11;1095.15
1;4;3;55;2554.31
1;4;3;58;1164.43
1;4;3;85;2131.20
2;1;1;36;1017.42
2;1;1;98;1124.41
2;1;2;40;1850.62
2;1;2;59;2806.46
2;1;2;71;1518.02
2;1;2;96;2339.94
2;1;3;05;2476.85
2;1;3;14;2388.68
2;1;3;19;1771.37
2;2;3;76;1373.74
2;3;1;30;2149.83
2;3;2;92;2264.75
2;3;3;63;2885.79
2;3;3;75;1099.65
2;3;3;77;2709.88
2;4;1;93;2197.62
2;4;2;57;2472.83
2;4;3;13;1250.04
2;4;3;49;2040.51
2;4;3;84;1310.32
3;1;1;27;2088.08
3;1;1;37;1696.74
3;1;1;64;1815.39
3;1;2;24;1464.77
3;1;2;38;1119.70
3;1;2;68;2352.45
3;1;3;07;2083.27
3;1;3;51;1645.58
3;1;3;72;1059.72
3;1;3;89;1090.80
3;2;1;48;1082.31
3;2;1;88;2391.17
3;2;2;23;1457.98
3;2;2;44;2016.01
3;2;3;56;1894.69
3;3;1;16;2693.28
3;3;2;47;2575.17
3;3;2;82;2476.12
3;3;3;41;2472.13
3;4;1;03;2813.62
3;4;1;74;2399.49
3;4;3;21;2889.75
3;4;3;26;2650.05
4;1;1;32;2246.85
4;1;1;33;2825.20
4;1;1;42;2719.03
4;1;1;50;1603.51
4;1;3;02;1104.62
4;2;1;39;1259.05
4;2;2;06;2826.31
4;2;2;60;1443.39
4;2;3;18;1619.56
4;2;3;34;2176.68
4;2;3;35;1911.09
4;2;3;81;2574.69
4;3;1;99;1664.89
4;3;2;12;1010.50
4;3;2;86;2490.51
4;3;3;15;1611.75
4;3;3;99;2378.42
4;4;1;62;1946.34
4;4;2;01;1111.56
4;4;2;09;1945.92
4;4;2;31;1604.16
4;4;2;73;1318.02
4;4;3;53;2242.79
5;1;1;22;1130.13
5;1;1;29;2541.09
5;1;1;70;2755.18
5;1;3;97;2847.37
5;2;1;45;1185.98
5;2;1;46;1776.66
5;2;2;78;2045.32
5;2;3;69;1188.46
5;2;3;80;1557.23
5;3;1;87;1206.74
5;3;2;04;1764.27
5;3;2;28;1933.80
5;3;3;52;1510.55
5;4;1;94;2040.04
