01;02;05.17
01;03;04.02
01;04;06.30
01;05;07.65
01;06;08.74
02;02;04.89
02;04;03.54
02;06;07.52
02;07;07.37
03;01;10.28
03;02;05.22
03;05;05.14
03;06;01.74
03;07;03.33
04;02;07.85
04;03;02.60
04;04;02.80
04;05;09.45
04;06;10.34
04;07;02.83
05;01;09.44
05;03;02.19
05;06;09.80
06;01;08.79
06;02;02.93
06;03;02.21
06;07;01.17
07;01;03.28
07;02;02.32
07;03;04.73
07;04;09.81
07;05;03.82
07;06;08.67
07;07;09.89
08;01;06.92
08;02;07.63
08;04;03.55
08;05;01.14
08;06;03.04
08;07;05.88
09;01;02.92
09;04;01.29
09;05;10.66
09;06;03.62
09;07;09.91
10;03;01.55
10;06;06.02
10;07;02.57
